Muestra;ADC
1650;1553
1651;509
1652;54
1653;371
1654;1296
1655;2525
1656;3559
1657;4021
1658;3705
1659;2790
1660;1559
1661;505
1662;57
1663;377
1664;1379
1665;2535
1666;3596
1667;4019
1668;3686
1669;2769
1670;1538
1671;522
1672;64
1673;381
1674;1367
1675;2547
1676;3609
1677;4043
1678;3725
1679;2747
1680;1557
1681;517
1682;64
1683;363
1684;1310
1685;2542
1686;3565
1687;4036
1688;3736
1689;2707
1690;1545
1691;495
1692;70
1693;387
1694;1357
1695;2568
1696;3622
1697;4032
1698;3673
1699;2769
1700;1533
1701;509
1702;58
1703;382
1704;1331
1705;2607
1706;3581
1707;4015
1708;3694
1709;2753
1710;1533
1711;521
1712;59
1713;377
1714;1319
1715;2559
1716;3575
1717;4026
1718;3705
1719;2724
1720;1516
1721;475
1722;58
1723;411
1724;1329
1725;2577
1726;3649
1727;4031
1728;3704
1729;2747
1730;1484
1731;492
1732;69
1733;392
1734;1337
1735;2561
1736;3602
1737;4017
1738;3699
1739;2740
1740;1526
1741;489
1742;57
1743;391
1744;1337
1745;2634
1746;3613
1747;4025
1748;3691
1749;2679
1750;1531
1751;481
1752;58
1753;387
1754;1345
1755;2617
1756;3603
1757;4041
1758;3683
1759;2732
1760;1511
1761;498
1762;70
1763;398
1764;1361
1765;2592
1766;3603
1767;4032
1768;3720
1769;2727
1770;1438
1771;495
1772;52
1773;396
1774;1353
1775;2596
1776;3593
1777;4040
1778;3691
1779;2661
1780;1521
1781;478
1782;76
1783;419
1784;1368
1785;2592
1786;3654
1787;4025
1788;3677
1789;2715
1790;1487
1791;486
1792;55
1793;403
1794;1345
1795;2590
1796;3612
1797;4027
1798;3643
1799;2740
1800;1466
1801;478
1802;67
1803;403
1804;1437
1805;2591
1806;3624
1807;4032
1808;3677
1809;2717
1810;1492
1811;440
1812;51
1813;389
1814;1351
1815;2587
1816;3618
1817;4031
1818;3687
1819;2739
1820;1524
1821;479
1822;64
1823;392
1824;1349
1825;2581
1826;3643
1827;4036
1828;3677
1829;2745
1830;1472
1831;484
1832;57
1833;377
1834;1359
1835;2606
1836;3622
1837;4013
1838;3662
1839;2711
1840;1503
1841;467
1842;70
1843;390
1844;1351
1845;2597
1846;3607
1847;4024
1848;3703
1849;2722
1850;1487
1851;450
1852;56
1853;417
1854;1362
1855;2585
1856;3642
1857;4015
1858;3669
1859;2736
1860;1434
1861;476
1862;66
1863;391
1864;1415
1865;2594
1866;3627
1867;4040
1868;3681
1869;2712
1870;1493
1871;476
1872;56
1873;401
1874;1383
1875;2609
1876;3603
1877;4023
1878;3671
1879;2637
1880;1491
1881;449
1882;57
1883;438
1884;1397
1885;2659
1886;3622
1887;4024
1888;3628
1889;2706
1890;1465
1891;468
1892;67
1893;420
1894;1387
1895;2609
1896;3630
1897;4042
1898;3694
1899;2689
1900;1486
1901;457
1902;66
1903;414
1904;1386
1905;2607
1906;3640
1907;4017
1908;3682
1909;2681
1910;1469
1911;434
1912;58
1913;407
1914;1401
1915;2633
1916;3623
1917;4016
1918;3672
1919;2619
1920;1479
1921;467
1922;70
1923;408
1924;1377
1925;2603
1926;3615
1927;4032
1928;3671
1929;2679
1930;1482
1931;467
1932;48
1933;419
1934;1422
1935;2626
1936;3623
1937;4023
1938;3674
1939;2645
1940;1471
1941;423
1942;46
1943;410
1944;1383
1945;2675
1946;3639
1947;4011
1948;3637
1949;2689
1950;1443
1951;451
1952;55
1953;426
1954;1415
1955;2640
1956;3623
1957;4026
1958;3661
1959;2700
1960;1390
1961;454
1962;56
1963;425
1964;1458
1965;2641
1966;3683
1967;4046
1968;3658
1969;2615
1970;1457
1971;446
1972;49
1973;448
1974;1383
1975;2647
1976;3607
1977;4026
1978;3660
1979;2689
1980;1449
1981;459
1982;55
1983;418
1984;1401
1985;2651
1986;3625
1987;4036
1988;3623
1989;2680
1990;1432
1991;465
1992;60
1993;417
1994;1429
1995;2651
1996;3644
1997;4044
1998;3631
1999;2690
2000;1377
2001;444
2002;69
2003;429
2004;1432
2005;2635
2006;3630
2007;4037
2008;3667
2009;2660
2010;1441
2011;457
2012;47
2013;477
2014;1431
2015;2659
2016;3643
2017;4032
2018;3621
2019;2655
2020;1378
2021;445
2022;50
2023;425
2024;1435
2025;2653
2026;3690
2027;4040
2028;3641
2029;2583
2030;1425
2031;428
2032;57
2033;442
2034;1429
2035;2654
2036;3651
2037;4027
2038;3639
2039;2651
2040;1423
2041;407
2042;52
2043;446
2044;1438
2045;2695
2046;3658
2047;4042
2048;3654
2049;2651
2050;1356
2051;441
2052;72
2053;436
2054;1495
2055;2649
2056;3649
2057;4021
2058;3655
2059;2641
2060;1445
2061;423
2062;56
2063;442
2064;1444
2065;2669
2066;3656
2067;4021
2068;3647
2069;2589
2070;1427
2071;399
2072;67
2073;468
2074;1427
2075;2675
2076;3652
2077;4032
2078;3640
2079;2595
2080;1409
2081;393
2082;70
2083;464
2084;1469
2085;2683
2086;3643
2087;4031
2088;3640
2089;2637
2090;1411
2091;411
2092;48
2093;445
2094;1532
2095;2692
2096;3667
2097;4032
2098;3615
2099;2590
2100;1412
2101;394
2102;55
2103;489
2104;1463
2105;2683
2106;3651
2107;4017
2108;3640
2109;2605
2110;1338
2111;429
2112;57
2113;472
2114;1478
2115;2707
2116;3686
2117;4021
2118;3610
2119;2599
2120;1397
2121;428
2122;72
2123;456
2124;1501
2125;2695
2126;3720
2127;4039
2128;3569
2129;2591
2130;1387
2131;363
2132;75
2133;482
2134;1475
2135;2756
2136;3693
2137;4021
2138;3630
2139;2613
2140;1383
2141;397
2142;44
2143;479
2144;1503
2145;2730
2146;3677
2147;4024
2148;3601
2149;2601
2150;1308
2151;400
2152;72
2153;476
2154;1555
2155;2733
2156;3683
2157;4017
2158;3620
2159;2579
2160;1303
2161;402
2162;66
2163;481
2164;1495
2165;2744
2166;3705
2167;4026
2168;3616
2169;2587
2170;1361
2171;387
2172;48
2173;487
2174;1503
2175;2805
2176;3687
2177;4024
2178;3575
2179;2574
2180;1318
2181;395
2182;61
2183;485
2184;1583
2185;2723
2186;3713
2187;4027
2188;3551
2189;2559
2190;1323
2191;348
2192;57
2193;515
2194;1525
2195;2739
2196;3721
2197;4024
2198;3599
2199;2548
2200;1349
2201;384
2202;72
2203;558
2204;1532
2205;2759
2206;3716
2207;4042
2208;3571
2209;2495
2210;1314
2211;384
2212;72
2213;514
2214;1523
2215;2768
2216;3741
2217;4035
2218;3583
2219;2570
2220;1338
2221;363
2222;65
2223;503
2224;1527
2225;2766
2226;3715
2227;4040
2228;3571
2229;2536
2230;1329
2231;340
2232;48
2233;521
2234;1559
2235;2815
2236;3723
2237;4015
2238;3571
2239;2540
2240;1287
2241;350
2242;55
2243;576
2244;1553
2245;2786
2246;3735
2247;4016
2248;3563
2249;2535
2250;1300
2251;364
2252;58
2253;527
2254;1559
2255;2783
2256;3745
2257;4019
2258;3569
2259;2509
2260;1307
2261;349
2262;78
2263;550
2264;1565
2265;2857
2266;3720
2267;4038
2268;3549
2269;2466
2270;1299
2271;364
2272;84
2273;531
2274;1579
2275;2785
2276;3735
2277;4014
2278;3582
2279;2520
2280;1287
2281;353
2282;65
2283;523
2284;1623
2285;2787
2286;3761
2287;4021
2288;3538
2289;2476
2290;1211
2291;358
2292;80
2293;583
2294;1586
2295;2816
