Muestra;ADC
2309;1039
2310;1035
2311;1024
2312;1043
2313;1035
2314;1020
2315;1018
2316;1031
2317;980
2318;1015
2319;1007
2320;1026
2321;1031
2322;1052
2323;1005
2324;1000
2325;1011
2326;1038
2327;1038
2328;1028
2329;993
2330;1025
2331;1007
2332;992
2333;1002
2334;1037
2335;1017
2336;1026
2337;1040
2338;1023
2339;1045
2340;1002
2341;1022
2342;1023
2343;1037
2344;1005
2345;1032
2346;1032
2347;992
2348;1028
2349;1042
2350;999
2351;1035
2352;1024
2353;1022
2354;1027
2355;1027
2356;1054
2357;1052
2358;1022
2359;1032
2360;1018
2361;989
2362;1029
2363;1023
2364;998
2365;1011
2366;995
2367;1019
2368;1017
2369;1027
2370;1023
2371;1017
2372;1020
2373;1011
2374;1041
2375;1019
2376;1031
2377;1020
2378;1013
2379;1026
2380;1035
2381;1009
2382;1036
2383;1037
2384;1023
2385;1010
2386;1034
2387;1009
2388;1032
2389;1007
2390;1038
2391;1013
2392;1050
2393;1013
2394;1024
2395;1029
2396;1008
2397;1001
2398;985
2399;1000
2400;1019
2401;1012
2402;1013
2403;1037
2404;1033
2405;1014
2406;1043
2407;1039
2408;1042
2409;1001
2410;1024
2411;981
2412;1045
2413;988
2414;1001
2415;1015
2416;1023
2417;1017
2418;1020
2419;1019
2420;1032
2421;1013
2422;1031
2423;1018
2424;1039
2425;997
2426;1031
2427;1011
2428;1025
2429;1041
2430;1015
2431;1041
2432;1017
2433;1023
2434;1034
2435;1023
2436;1019
2437;1056
2438;1012
2439;1028
2440;1001
2441;1027
2442;1019
2443;1033
2444;1030
2445;1043
2446;1029
2447;1039
2448;1036
2449;1043
2450;1039
2451;1007
2452;1015
2453;1003
2454;993
2455;1009
2456;1043
2457;1031
2458;1017
2459;1031
2460;1011
2461;1012
2462;1014
2463;991
2464;988
2465;1043
2466;1015
2467;1019
2468;1025
2469;998
2470;1030
2471;1029
2472;1046
2473;1002
2474;1000
2475;1019
2476;1012
2477;1037
2478;1008
2479;1026
2480;1035
2481;1003
